Altium Designer Pick and Place Locations
C:\Users\SuperHang\Documents\WeChat Files\wxid_owhfdj1f53bm22\FileStorage\File\2022-09\电路-【自主作业准备1.0-20220907】(1) - 副本\电路-【自主作业准备1.0-20220907】\Project Outputs for CP6AutoV1.0\Pick Place for ValveDrvBoardV20.txt

========================================================================================================================
File Design Information:

Date:       08/09/22
Time:       12:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment           Layer    Footprint                             Center-X(mm) Center-Y(mm) Rotation Description                 
R41        22K               TopLayer R0603-M                               67.8688      4.5212       0        贴片电阻                        
R40        22K               TopLayer R0603-M                               56.7944      4.7937       0        贴片电阻                        
R37        330               TopLayer R0603-M                               78.6638      2.7432       0        贴片电阻/330                    
R36        330               TopLayer R0603-M                               67.8688      2.5654       0        贴片电阻/330                    
R35        330               TopLayer R0603-M                               56.7436      2.8103       0        贴片电阻/330                    
R34        22K               TopLayer R0603-M                               45.8470      4.6228       0        贴片电阻                        
R33        22K               TopLayer R0603-M                               35.5854      4.5974       0        贴片电阻                        
R32        22K               TopLayer R0603-M                               74.0410      26.3180      270      贴片电阻                        
R31        22K               TopLayer R0603-M                               157.2514     36.3474      180      贴片电阻                        
R30        22K               TopLayer R0603-M                               147.5486     36.3220      180      贴片电阻                        
R29        330               TopLayer R0603-M                               45.8724      2.5654       0        贴片电阻/330                    
R28        330               TopLayer R0603-M                               35.6108      2.5400       0        贴片电阻/330                    
R27        330               TopLayer R0603-M                               72.0344      26.3434      270      贴片电阻/330                    
R26        330               TopLayer R0603-M                               157.2514     38.3540      180      贴片电阻/330                    
R25        330               TopLayer R0603-M                               147.4978     38.2524      180      贴片电阻/330                    
R24        22K               TopLayer R0603-M                               137.6426     36.4744      180      贴片电阻                        
R23        22K               TopLayer R0603-M                               127.2032     36.3728      180      贴片电阻                        
R21        22K               TopLayer R0603-M                               117.2210     36.2458      180      贴片电阻                        
R20        22K               TopLayer R0603-M                               107.2134     36.4896      180      贴片电阻                        
R19        22K               TopLayer R0603-M                               100.8888     38.4556      0        贴片电阻                        
R18        330               TopLayer R0603-M                               137.6934     38.4150      180      贴片电阻/330                    
R17        330               TopLayer R0603-M                               127.2286     38.3134      180      贴片电阻/330                    
R16        330               TopLayer R0603-M                               117.2210     38.2524      180      贴片电阻/330                    
R15        330               TopLayer R0603-M                               107.2278     38.4302      180      贴片电阻/330                    
R14        330               TopLayer R0603-M                               100.8888     36.3982      0        贴片电阻/330                    
R13        22K               TopLayer R0603-M                               91.1098      38.1762      0        贴片电阻                        
R12        22K               TopLayer R0603-M                               80.8482      38.3794      0        贴片电阻                        
R11        22K               TopLayer R0603-M                               70.5468      38.0134      0        贴片电阻                        
R10        22K               TopLayer R0603-M                               60.1218      38.1912      0        贴片电阻                        
R9         22K               TopLayer R0603-M                               49.7984      38.1254      0        贴片电阻                        
R8         330               TopLayer R0603-M                               91.1352      36.0934      0        贴片电阻/330                    
R7         330               TopLayer R0603-M                               80.8990      36.4236      0        贴片电阻/330                    
R6         330               TopLayer R0603-M                               70.5722      36.0934      0        贴片电阻/330                    
R5         330               TopLayer R0603-M                               60.0964      36.1950      0        贴片电阻/330                    
R4         330               TopLayer R0603-M                               49.7730      36.1950      0        贴片电阻/330                    
Q18        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   74.4982      3.8354       0        三极管/MMBT5551/NPN            
Q17        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   63.6778      3.6253       0        三极管/MMBT5551/NPN            
Q16        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   52.7304      3.6253       0        三极管/MMBT5551/NPN            
Q15        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   41.8338      3.7592       0        三极管/MMBT5551/NPN            
Q14        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   31.3690      3.4290       0        三极管/MMBT5551/NPN            
Q13        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   72.9996      30.3566      270      三极管/MMBT5551/NPN            
Q12        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   161.6710     37.3888      180      三极管/MMBT5551/NPN            
Q11        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   151.5872     37.3634      180      三极管/MMBT5551/NPN            
Q10        MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   141.5796     37.4650      180      三极管/MMBT5551/NPN            
Q9         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   131.2926     37.3888      180      三极管/MMBT5551/NPN            
Q8         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   121.1326     37.2364      180      三极管/MMBT5551/NPN            
Q7         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   111.2774     37.4396      180      三极管/MMBT5551/NPN            
Q6         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   96.7232      37.3888      0        三极管/MMBT5551/NPN            
Q5         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   86.8118      37.0434      0        三极管/MMBT5551/NPN            
Q4         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   76.8096      37.2364      0        三极管/MMBT5551/NPN            
Q3         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   66.4664      37.0484      0        三极管/MMBT5551/NPN            
Q2         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   55.7992      37.1734      0        三极管/MMBT5551/NPN            
Q1         MMBT5551          TopLayer LC-SOT-23(SOT-23-3)                   45.7146      37.1582      0        三极管/MMBT5551/NPN            
D20        LL4148            TopLayer LC-LL-34                              75.9968      7.3152       0        二极管LL4148                   
D19        LL4148            TopLayer LC-LL-34                              65.1256      7.2136       0        二极管LL4148                   
D18        LL4148            TopLayer LC-LL-34                              54.3560      7.2390       0        二极管LL4148                   
D17        LL4148            TopLayer LC-LL-34                              43.6118      7.2644       0        二极管LL4148                   
D16        LL4148            TopLayer LC-LL-34                              32.8930      7.1628       0        二极管LL4148                   
D15        LL4148            TopLayer LC-LL-34                              69.0626      28.8036      90       二极管LL4148                   
D14        LL4148            TopLayer LC-LL-34                              159.9438     40.6654      0        二极管LL4148                   
D13        LL4148            TopLayer LC-LL-34                              149.7584     40.6654      0        二极管LL4148                   
D12        LL4148            TopLayer LC-LL-34                              139.5222     40.7416      0        二极管LL4148                   
D11        LL4148            TopLayer LC-LL-34                              128.9558     40.6908      0        二极管LL4148                   
D10        LL4148            TopLayer LC-LL-34                              119.1514     40.6654      0        二极管LL4148                   
D9         LL4148            TopLayer LC-LL-34                              108.6612     40.7924      0        二极管LL4148                   
D8         LL4148            TopLayer LC-LL-34                              98.5012      40.7416      0        二极管LL4148                   
D7         LL4148            TopLayer LC-LL-34                              88.3158      40.6654      0        二极管LL4148                   
D6         LL4148            TopLayer LC-LL-34                              78.2066      40.6908      0        二极管LL4148                   
D5         LL4148            TopLayer LC-LL-34                              68.1990      40.6400      0        二极管LL4148                   
D4         LL4148            TopLayer LC-LL-34                              57.7368      40.7162      0        二极管LL4148                   
D3         LL4148            TopLayer LC-LL-34                              47.4726      40.5892      0        二极管LL4148                   
C5         25V10uF           TopLayer C0805                                 20.9066      3.4036       180      贴片电容                        
U29        TD301MCAN         TopLayer LC-DIP-8                              32.2534      41.0692      90       隔离CAN收发器CTM1051AM或TD301MCAN 
T1         NUP2105LT1G       TopLayer LC-SOT-23(SOT-23-3)                   29.8504      51.5620      0        TVS                         
R95        0Ω                TopLayer R0603-M                               37.1348      28.7418      90       Resistor                    
R94        5.1Ω              TopLayer R0603-M                               35.6760      52.5780      0        贴片电阻/120Ω                   
R92        5.1Ω              TopLayer R0603-M                               35.7014      50.5206      0        贴片电阻/120Ω                   
R90        120Ω              TopLayer R0603-M                               32.7914      53.5432      270      贴片电阻/120Ω                   
D24        P6SMB6.8CA        TopLayer LC-SMA(DO-214AC)_S2                   32.7976      29.6454      180      TVS二极管/P6SMB6.8CA           
C39        10V10uF           TopLayer C0603-M                               34.6964      33.1724      180      贴片电容                        
R59        "0Ω NC"           TopLayer R0603-M                               25.8572      49.2252      0        Resistor                    
R84        10K               TopLayer R0603-M                               115.9002     10.5808      270      Resistor                    
UART1      "Header 4"        TopLayer HDR1X4                                85.6488      21.6916      90       "Header, 4-Pin"             
U28        STM32F107VCT6     TopLayer LQFP100                               101.1428     20.6248      180      ""                          
U27        AT24C02C-SSHM-T   TopLayer SO-8                                  111.7238     5.3668       180      EEPROM                      
TST2       TST3V3A           TopLayer CON-TEST-VCC                          89.4334      26.8478      180      Connector                   
SWD1       "Header 4"        TopLayer HDR1X4                                85.6488      8.4836       90       "Header, 4-Pin"             
R93        10k               TopLayer R0603-M                               102.5144     31.6992      90       Resistor                    
R91        2K                TopLayer R0603-M                               98.7044      4.9530       270      Resistor                    
R89        0Ω                TopLayer R0603-M                               91.0082      5.3594       90       Resistor                    
R88        1M                TopLayer R0603-M                               116.0688     19.9728      270      Resistor                    
R87        4.7K              TopLayer R0603-M                               105.0798     8.0518       180      Resistor                    
R86        10K               TopLayer R0603-M                               105.6894     10.1092      180      Resistor                    
R85        4.7K              TopLayer R0603-M                               105.0798     6.0198       180      Resistor                    
LED2       "绿灯 0603"         TopLayer 0603_LED_S1                           96.2406      5.0800       90       发光二极管                       
L6         100-3             TopLayer L0805-M                               114.7573     28.2955      270      "贴片磁珠/100Ω 3A/0805"         
CRY1       25MHz             TopLayer CRYSTAL-SMD_L11.5-W4.8-LS12.7         120.0659     22.1979      90       ""                          
C38        10V10uF           TopLayer C0603-M                               93.5228      5.1664       90       贴片电容                        
C37        100nF             TopLayer C0603-M                               94.1832      31.0896      180      Capacitor                   
C36        100nF             TopLayer C0603-M                               108.2548     31.2357      180      Capacitor                   
C35        100nF             TopLayer C0603-M                               109.3470     10.1346      0        Capacitor                   
C34        100nF             TopLayer C0603-M                               90.0176      14.3002      270      Capacitor                   
C33        100nF             TopLayer C0603-M                               113.1316     17.8816      90       Capacitor                   
C32        100nF             TopLayer C0603-M                               113.8682     10.5554      90       Capacitor                   
C31        100nF             TopLayer C0603-M                               105.0798     3.4798       0        Capacitor                   
C30        20pF              TopLayer C0603-M                               116.0780     16.5100      270      Capacitor                   
C29        20pF              TopLayer C0603-M                               116.0688     23.7728      270      Capacitor                   
ARM_RST1   button            TopLayer SW_PB2_A1                             119.6086     7.3862       90       轻触开关3.6*6.1*2.5             
3V3C       TST3V3C           TopLayer CON-TEST-VCC                          92.9640      9.9314       0        Connector                   
C95        100nF             TopLayer C0603-M                               114.1222     23.7728      90       Capacitor                   
U2         AMS1117-3.3       TopLayer SOT-223                               17.8526      9.2128       270      低压差线性稳压(LDO)                
R161       2K                TopLayer R0603-M                               5.5626       8.6106       270      贴片电阻                        
R3         0Ω                TopLayer R0603-M                               8.1026       8.6388       90       贴片电阻/0Ω                     
LED1       "绿灯 0603"         TopLayer 0603_LED_S1                           4.5212       13.5198      270      发光二极管                       
GND        GND               TopLayer CON-TEST-VCC                          11.6586      4.8288       270      Connector                   
C6         100nF             TopLayer C0603-M                               10.8966      8.6388       90       贴片电容                        
5V         TST5V             TopLayer CON-TEST-VCC                          24.1046      13.6848      0        Connector                   
3V3        TST3V3            TopLayer CON-TEST-VCC                          7.9248       4.9022       90       Connector                   
